Order ID,Customer ID,Order Date,Customer Name,Region,State,Category,Product,Quantity,Sales,Discount %,Net Sales,Profit,Payment Mode,Salesperson
ORD-10449,1088,2025-01-05 04:05:06,Customer 303,Central,Madhya Pradesh,Electronics,Laptop,5,330828.86,10,297745.97,52685.79,Debit Card,P. Sharma
ORD-10067,1118,2025-01-05 11:45:52,Customer 94,East,Bihar,Furniture,Sofa,2,52199.98,15,44369.98,3589.58,Debit Card,K. Yadav
ORD-10137,1422,2025-01-05 11:47:56,Customer 41,East,Odisha,Office Supplies,Notebook,4,1191.85,10,1072.67,161.13,Cash,N. Gupta
ORD-10491,1117,2025-01-05 19:42:41,Customer 368,Central,Madhya Pradesh,Electronics,Laptop,4,242011.08,5,229910.53,54587.69,Credit Card,R. Singh
ORD-10441,1427,2025-01-05 20:54:48,Customer 18,South,Karnataka,Furniture,Office Chair,4,35623.26,20,28498.61,5595.23,Net Banking,R. Singh
ORD-10821,1417,2025-01-06 04:11:35,Customer 71,East,West Bengal,Electronics,Laptop,3,178863.26,20,143090.61,18472.67,UPI,N. Gupta
ORD-11394,1221,2025-01-06 12:39:23,Customer 90,South,Telangana,Furniture,Office Chair,4,33279.34,10,29951.41,6064.11,Debit Card,P. Sharma
ORD-11248,1178,2025-01-06 12:58:59,Customer 450,North,Haryana,Electronics,Smartphone,4,123235.86,20,98588.69,19534.77,Cash,K. Yadav
ORD-11422,1423,2025-01-06 15:30:43,Customer 365,West,Rajasthan,Accessories,Keyboard,2,3745.71,10,3371.14,532.69,Cash,A. Kumar
ORD-10457,1095,2025-01-06 17:50:32,Customer 8,West,Rajasthan,Office Supplies,Notebook,5,1699.4,20,1359.52,275.2,Debit Card,K. Yadav
ORD-10049,1192,2025-01-06 18:12:42,Customer 447,South,Telangana,Office Supplies,Notebook,4,1255.1,0,1255.1,308.31,UPI,A. Kumar
ORD-11459,1396,2025-01-06 19:04:02,Customer 71,North,Punjab,Office Supplies,Notebook,2,664.15,10,597.73,62.97,UPI,A. Kumar
ORD-11707,1196,2025-01-06 20:48:31,Customer 467,East,West Bengal,Furniture,Desk,5,61847.34,5,58754.97,11879.06,Net Banking,A. Kumar
ORD-10125,1222,2025-01-06 23:59:09,Customer 455,East,West Bengal,Electronics,Headphones,4,22837.56,5,21695.68,3439.99,UPI,K. Yadav
ORD-10813,1228,2025-01-07 02:26:09,Customer 346,East,Odisha,Accessories,Keyboard,3,5941.58,10,5347.42,608.28,Net Banking,P. Sharma
ORD-10841,1177,2025-01-07 07:31:41,Customer 415,East,Bihar,Furniture,Bookshelf,2,13733.93,10,12360.54,1128.96,Cash,K. Yadav
ORD-10535,1322,2025-01-07 22:45:38,Customer 211,West,Goa,Electronics,Headphones,3,14470.17,5,13746.66,2955.68,Credit Card,P. Sharma
ORD-10144,1341,2025-01-08 11:48:16,Customer 264,West,Rajasthan,Electronics,Headphones,4,21523.4,5,20447.23,3976.65,Net Banking,K. Yadav
ORD-10269,1398,2025-01-09 12:59:14,Customer 409,West,Rajasthan,Office Supplies,File Folder,5,1014.99,15,862.74,173.06,Debit Card,K. Yadav
ORD-10010,1179,2025-01-09 21:46:38,Customer 352,Central,Chhattisgarh,Electronics,Tablet,1,23708.65,0,23708.65,3667.42,UPI,S. Verma
ORD-10587,1215,2025-01-10 01:34:18,Customer 40,North,Haryana,Accessories,Keyboard,3,5409.14,15,4597.77,480.28,Credit Card,R. Singh
ORD-10523,1434,2025-01-10 01:39:26,Customer 28,East,Odisha,Electronics,Smartphone,1,31447.92,10,28303.13,2905.84,Credit Card,S. Verma
ORD-10861,1083,2025-01-10 01:55:14,Customer 329,Central,Chhattisgarh,Office Supplies,Notebook,4,1183.35,0,1183.35,148.98,Cash,A. Kumar
ORD-11000,1066,2025-01-10 04:56:55,Customer 422,Central,Madhya Pradesh,Office Supplies,Stapler,3,1256.43,10,1130.79,183.56,Cash,S. Verma
ORD-10849,1187,2025-01-10 16:44:36,Customer 478,East,Jharkhand,Accessories,Backpack,5,14067.14,5,13363.78,2894.62,Net Banking,R. Singh
ORD-10171,1447,2025-01-11 00:10:45,Customer 160,West,Goa,Electronics,Monitor,5,102070.11,15,86759.59,11037.38,Net Banking,R. Singh
ORD-11413,1267,2025-01-11 00:59:55,Customer 397,North,Delhi,Accessories,Keyboard,2,3525.07,0,3525.07,572.08,UPI,A. Kumar
ORD-10247,1273,2025-01-11 02:05:22,Customer 252,North,Punjab,Furniture,Table,3,28128.91,15,23909.57,2755.4,Credit Card,K. Yadav
ORD-11292,1088,2025-01-11 08:58:37,Customer 19,North,Haryana,Furniture,Desk,1,11051.85,5,10499.26,1394.76,UPI,R. Singh
ORD-11007,1212,2025-01-11 12:22:53,Customer 237,North,Haryana,Accessories,Backpack,1,2849.61,5,2707.13,359.79,Net Banking,A. Kumar
ORD-10528,1403,2025-01-11 17:15:09,Customer 45,Central,Chhattisgarh,Electronics,Monitor,5,90038.18,10,81034.36,18046.92,Credit Card,K. Yadav
ORD-11797,1176,2025-01-11 22:56:24,Customer 280,South,Karnataka,Office Supplies,File Folder,2,371.48,0,371.48,33.4,Cash,K. Yadav
ORD-10074,1309,2025-01-12 00:59:19,Customer 104,North,Haryana,Furniture,Office Chair,1,8899.57,5,8454.59,1440.8,Debit Card,R. Singh
ORD-11975,1281,2025-01-12 01:11:58,Customer 334,West,Rajasthan,Office Supplies,Pen Set,4,915.92,0,915.92,79.93,UPI,S. Verma
ORD-11441,1404,2025-01-12 02:23:32,Customer 201,Central,Chhattisgarh,Electronics,Headphones,2,11062.6,15,9403.21,1828.09,UPI,R. Singh
ORD-10084,1361,2025-01-12 04:42:24,Customer 148,Central,Madhya Pradesh,Electronics,Smartphone,4,114380.42,10,102942.38,25307.56,Cash,N. Gupta
ORD-10473,1322,2025-01-12 06:51:52,Customer 363,Central,Chhattisgarh,Electronics,Tablet,1,22939.19,10,20645.27,4677.25,Cash,K. Yadav
ORD-10278,1006,2025-01-12 09:22:36,Customer 8,Central,Chhattisgarh,Electronics,Smartphone,2,56704.62,10,51034.16,8948.77,Cash,N. Gupta
ORD-10529,1034,2025-01-12 12:57:37,Customer 325,West,Goa,Office Supplies,Pen Set,5,1187.94,0,1187.94,110.24,Credit Card,P. Sharma
ORD-11650,1433,2025-01-12 13:43:17,Customer 435,West,Rajasthan,Office Supplies,Stapler,2,795.6,15,676.26,74.7,Debit Card,P. Sharma
ORD-10994,1164,2025-01-13 05:15:52,Customer 175,West,Gujarat,Office Supplies,File Folder,2,375.59,5,356.81,80.84,Debit Card,S. Verma
ORD-11470,1314,2025-01-13 16:41:18,Customer 194,South,Karnataka,Accessories,USB Hub,5,6587.6,5,6258.22,539.71,Cash,S. Verma
ORD-11319,1015,2025-01-13 17:02:48,Customer 112,West,Maharashtra,Furniture,Desk,2,24421.38,10,21979.24,2744.87,Debit Card,P. Sharma
ORD-11705,1070,2025-01-13 22:48:21,Customer 353,West,Goa,Office Supplies,Stapler,3,1165.64,5,1107.36,176.86,Credit Card,N. Gupta
ORD-10463,1034,2025-01-13 23:20:03,Customer 409,West,Goa,Office Supplies,Notebook,1,292.68,15,248.78,56.16,Credit Card,K. Yadav
ORD-11848,1404,2025-01-13 23:39:32,Customer 114,Central,Chhattisgarh,Electronics,Laptop,1,63975.09,15,54378.83,5863.53,UPI,N. Gupta
ORD-11414,1343,2025-01-14 10:12:20,Customer 242,West,Gujarat,Office Supplies,Notebook,4,1126.9,5,1070.56,217.59,Debit Card,P. Sharma
ORD-11500,1397,2025-01-14 18:26:51,Customer 485,South,Tamil Nadu,Electronics,Laptop,5,351724.24,5,334138.03,77153.1,Net Banking,K. Yadav
ORD-10685,1325,2025-01-14 21:06:57,Customer 147,West,Maharashtra,Furniture,Desk,5,59814.37,5,56823.65,13579.54,Debit Card,R. Singh
ORD-11443,1065,2025-01-15 08:20:13,Customer 465,North,Delhi,Furniture,Table,4,43733.92,0,43733.92,3782.38,Credit Card,K. Yadav
ORD-10973,1175,2025-01-15 08:42:42,Customer 385,West,Maharashtra,Accessories,USB Hub,5,6843.53,10,6159.18,924.82,Credit Card,A. Kumar
ORD-10019,1037,2025-01-15 08:44:42,Customer 9,South,Telangana,Furniture,Sofa,1,24011.58,0,24011.58,5583.33,UPI,R. Singh
ORD-10998,1269,2025-01-15 09:52:55,Customer 404,South,Karnataka,Office Supplies,File Folder,1,170.95,0,170.95,38.0,Net Banking,S. Verma
ORD-11239,1404,2025-01-15 15:08:43,Customer 404,West,Gujarat,Office Supplies,Notebook,1,305.8,15,259.93,39.87,UPI,S. Verma
ORD-10758,1342,2025-01-16 09:37:37,Customer 19,North,Haryana,Furniture,Sofa,3,84747.58,0,84747.58,18602.86,Cash,S. Verma
ORD-11829,1059,2025-01-16 14:02:48,Customer 476,South,Tamil Nadu,Office Supplies,Notebook,3,885.31,0,885.31,101.12,Cash,A. Kumar
ORD-10034,1257,2025-01-16 15:44:55,Customer 325,South,Karnataka,Office Supplies,Notebook,4,1192.38,10,1073.14,177.64,Net Banking,S. Verma
ORD-11831,1335,2025-01-16 22:34:36,Customer 70,Central,Madhya Pradesh,Furniture,Bookshelf,4,31849.83,15,27072.36,2881.75,Net Banking,K. Yadav
ORD-10384,1407,2025-01-17 00:20:40,Customer 418,Central,Madhya Pradesh,Office Supplies,File Folder,3,488.26,10,439.43,40.87,Credit Card,N. Gupta
ORD-11059,1246,2025-01-17 05:12:50,Customer 493,West,Maharashtra,Office Supplies,Printer,2,30071.03,20,24056.82,5463.86,Cash,R. Singh
ORD-10982,1393,2025-01-17 07:37:29,Customer 404,South,Telangana,Electronics,Monitor,5,90231.06,0,90231.06,21115.71,Net Banking,A. Kumar
ORD-10824,1282,2025-01-17 09:59:11,Customer 211,South,Kerala,Electronics,Monitor,5,101207.79,10,91087.01,12969.85,Credit Card,S. Verma
ORD-10394,1025,2025-01-17 16:56:41,Customer 206,Central,Madhya Pradesh,Furniture,Sofa,1,23501.41,5,22326.34,3373.17,Credit Card,A. Kumar
ORD-10155,1173,2025-01-17 20:17:45,Customer 47,Central,Chhattisgarh,Accessories,USB Hub,4,4424.45,15,3760.78,539.66,Debit Card,N. Gupta
ORD-11467,1421,2025-01-18 02:44:22,Customer 346,North,Punjab,Electronics,Smartphone,3,94901.83,15,80666.56,11037.18,Net Banking,K. Yadav
ORD-10681,1023,2025-01-18 03:09:35,Customer 109,South,Karnataka,Electronics,Headphones,1,5360.45,5,5092.43,627.86,Debit Card,A. Kumar
ORD-11548,1023,2025-01-18 04:08:24,Customer 303,North,Haryana,Office Supplies,Stapler,4,1507.82,15,1281.65,182.9,Net Banking,P. Sharma
ORD-10353,1011,2025-01-18 05:53:37,Customer 434,West,Goa,Electronics,Monitor,1,19211.89,15,16330.11,2156.04,Cash,P. Sharma
ORD-10399,1180,2025-01-18 07:02:19,Customer 381,West,Goa,Electronics,Monitor,5,82879.31,5,78735.34,16370.62,Net Banking,N. Gupta
ORD-11807,1126,2025-01-18 11:52:06,Customer 388,West,Goa,Office Supplies,Printer,2,28898.13,15,24563.41,5933.42,Net Banking,K. Yadav
ORD-11284,1102,2025-01-18 13:17:40,Customer 104,North,Delhi,Office Supplies,Notebook,3,863.34,5,820.17,132.72,Net Banking,P. Sharma
ORD-11787,1422,2025-01-19 09:33:03,Customer 57,Central,Chhattisgarh,Electronics,Tablet,4,79418.98,10,71477.08,10926.68,UPI,N. Gupta
ORD-10634,1360,2025-01-19 11:16:16,Customer 56,North,Delhi,Electronics,Tablet,4,90391.53,5,85871.95,17741.8,Cash,N. Gupta
ORD-11663,1333,2025-01-19 17:14:03,Customer 459,Central,Chhattisgarh,Electronics,Tablet,3,62949.65,10,56654.69,10328.15,Credit Card,K. Yadav
ORD-11686,1311,2025-01-19 18:22:28,Customer 47,West,Rajasthan,Furniture,Sofa,3,83221.92,10,74899.73,7662.35,Cash,A. Kumar
ORD-10796,1240,2025-01-19 22:36:57,Customer 182,North,Haryana,Electronics,Headphones,5,28738.89,15,24428.06,2154.92,UPI,A. Kumar
ORD-10658,1161,2025-01-20 03:10:05,Customer 56,West,Gujarat,Office Supplies,File Folder,5,886.76,10,798.08,138.43,Cash,A. Kumar
ORD-10064,1067,2025-01-20 03:43:36,Customer 109,North,Haryana,Electronics,Monitor,1,20207.37,10,18186.63,3554.53,Credit Card,S. Verma
ORD-10184,1380,2025-01-20 07:25:21,Customer 11,Central,Chhattisgarh,Electronics,Smartphone,5,156840.85,10,141156.77,30772.3,Credit Card,A. Kumar
ORD-11875,1017,2025-01-20 07:26:56,Customer 186,East,Jharkhand,Electronics,Laptop,5,292663.42,10,263397.08,31726.82,Cash,N. Gupta
ORD-11952,1400,2025-01-20 08:13:27,Customer 250,South,Tamil Nadu,Office Supplies,Printer,1,13591.55,5,12911.97,1234.01,Credit Card,R. Singh
ORD-10403,1077,2025-01-20 14:24:41,Customer 137,South,Tamil Nadu,Electronics,Tablet,5,101255.65,0,101255.65,25137.58,Credit Card,S. Verma
ORD-11451,1180,2025-01-20 19:27:18,Customer 355,South,Kerala,Electronics,Monitor,5,82811.62,10,74530.46,6134.81,Net Banking,R. Singh
ORD-10265,1359,2025-01-20 22:35:07,Customer 41,North,Delhi,Furniture,Bookshelf,4,32196.26,0,32196.26,5304.56,Debit Card,P. Sharma
ORD-11221,1055,2025-01-21 00:52:06,Customer 129,North,Uttar Pradesh,Furniture,Office Chair,2,17026.03,10,15323.43,2246.91,Cash,N. Gupta
ORD-10699,1438,2025-01-21 06:21:06,Customer 66,West,Gujarat,Office Supplies,Printer,4,60540.7,10,54486.63,12027.77,Cash,A. Kumar
ORD-11121,1267,2025-01-21 07:25:41,Customer 144,North,Punjab,Electronics,Monitor,2,37455.13,10,33709.62,4830.37,Net Banking,A. Kumar
ORD-10729,1257,2025-01-21 09:24:16,Customer 239,South,Telangana,Electronics,Smartphone,2,67125.13,5,63768.87,6126.57,UPI,K. Yadav
ORD-10703,1013,2025-01-21 10:38:19,Customer 411,East,West Bengal,Office Supplies,Notebook,2,646.37,0,646.37,55.71,Debit Card,S. Verma
ORD-10288,1188,2025-01-21 15:33:26,Customer 303,Central,Chhattisgarh,Furniture,Bookshelf,5,36021.11,15,30617.94,3919.84,Credit Card,N. Gupta
ORD-11458,1266,2025-01-22 00:21:29,Customer 434,Central,Chhattisgarh,Furniture,Bookshelf,4,31585.4,20,25268.32,4840.01,Cash,K. Yadav
ORD-11358,1185,2025-01-22 14:11:41,Customer 442,Central,Chhattisgarh,Electronics,Smartphone,1,29010.07,0,29010.07,6879.54,Debit Card,S. Verma
ORD-11794,1378,2025-01-22 15:02:44,Customer 257,West,Goa,Office Supplies,Pen Set,2,492.11,5,467.5,109.7,Credit Card,N. Gupta
ORD-10226,1174,2025-01-22 23:30:54,Customer 15,West,Rajasthan,Office Supplies,Printer,5,80520.95,0,80520.95,18907.53,UPI,R. Singh
ORD-11844,1368,2025-01-23 10:12:16,Customer 223,East,Odisha,Electronics,Headphones,5,23899.43,10,21509.49,2140.3,Cash,S. Verma
ORD-11897,1058,2025-01-23 12:25:48,Customer 263,Central,Madhya Pradesh,Furniture,Office Chair,3,28648.2,10,25783.38,4216.8,Debit Card,R. Singh
ORD-11354,1418,2025-01-23 12:30:53,Customer 283,East,Odisha,Electronics,Laptop,3,178229.04,0,178229.04,42435.87,Cash,K. Yadav
ORD-10113,1224,2025-01-23 13:40:13,Customer 349,South,Karnataka,Accessories,Backpack,4,9190.33,15,7811.78,1282.5,Debit Card,P. Sharma
ORD-10336,1245,2025-01-23 14:35:41,Customer 426,West,Gujarat,Office Supplies,Printer,3,45373.09,15,38567.13,8675.27,Cash,P. Sharma
ORD-10560,1415,2025-01-23 22:07:05,Customer 114,South,Karnataka,Office Supplies,Notebook,5,1671.87,10,1504.68,320.99,Cash,S. Verma
ORD-10025,1223,2025-01-24 00:32:53,Customer 58,North,Punjab,Electronics,Headphones,1,4896.15,5,4651.34,812.39,Debit Card,K. Yadav
ORD-11636,1108,2025-01-24 05:37:08,Customer 425,East,Jharkhand,Accessories,Backpack,1,2366.83,10,2130.15,440.72,Cash,P. Sharma
ORD-10761,1025,2025-01-24 15:19:21,Customer 325,East,Jharkhand,Accessories,Mouse,1,1032.8,5,981.16,80.46,Debit Card,P. Sharma
ORD-10333,1331,2025-01-24 20:03:05,Customer 479,South,Tamil Nadu,Furniture,Bookshelf,3,22609.83,5,21479.34,3067.51,Debit Card,R. Singh
ORD-10402,1441,2025-01-24 23:45:23,Customer 9,West,Goa,Electronics,Laptop,3,195551.07,5,185773.52,36096.77,Cash,P. Sharma
ORD-11143,1410,2025-01-25 01:27:30,Customer 343,Central,Chhattisgarh,Electronics,Headphones,5,25281.94,10,22753.75,2310.48,Cash,N. Gupta
ORD-10516,1330,2025-01-25 01:56:03,Customer 333,West,Goa,Electronics,Monitor,1,18028.87,15,15324.54,2915.89,UPI,N. Gupta
ORD-10609,1241,2025-01-25 04:50:28,Customer 178,Central,Madhya Pradesh,Furniture,Office Chair,3,27972.73,10,25175.46,3540.05,Debit Card,S. Verma
ORD-10202,1007,2025-01-25 05:08:21,Customer 127,West,Goa,Electronics,Smartphone,2,62429.89,5,59308.4,7922.55,Credit Card,R. Singh
ORD-11776,1092,2025-01-25 07:37:09,Customer 376,South,Karnataka,Accessories,Keyboard,4,6816.05,15,5793.64,1194.09,UPI,N. Gupta
ORD-10407,1283,2025-01-25 10:46:08,Customer 182,East,Odisha,Electronics,Smartphone,3,102686.02,0,102686.02,10864.37,Credit Card,A. Kumar
ORD-11789,1345,2025-01-25 11:26:37,Customer 22,West,Gujarat,Office Supplies,Notebook,5,1383.78,20,1107.02,192.36,Cash,P. Sharma
ORD-11799,1057,2025-01-25 13:21:12,Customer 113,East,West Bengal,Electronics,Monitor,5,92958.02,0,92958.02,13257.1,Net Banking,S. Verma
ORD-10618,1337,2025-01-25 23:11:38,Customer 95,North,Delhi,Accessories,Backpack,5,11694.32,0,11694.32,2179.74,Credit Card,K. Yadav
ORD-10134,1442,2025-01-26 19:13:00,Customer 24,South,Kerala,Office Supplies,File Folder,1,199.82,5,189.83,46.19,Cash,N. Gupta
ORD-10077,1411,2025-01-26 23:31:42,Customer 115,Central,Chhattisgarh,Office Supplies,File Folder,5,919.43,10,827.49,174.78,Debit Card,S. Verma
ORD-11118,1305,2025-01-27 11:01:53,Customer 105,South,Telangana,Furniture,Desk,4,45794.26,15,38925.12,3247.79,Cash,R. Singh
ORD-10763,1347,2025-01-27 12:40:56,Customer 269,North,Punjab,Furniture,Bookshelf,4,29669.81,0,29669.81,7045.62,Net Banking,S. Verma
ORD-11524,1201,2025-01-27 16:48:14,Customer 9,Central,Chhattisgarh,Furniture,Desk,4,46371.12,15,39415.45,7435.15,Credit Card,S. Verma
ORD-11309,1123,2025-01-27 21:12:03,Customer 277,Central,Madhya Pradesh,Furniture,Bookshelf,2,13899.17,10,12509.25,1819.37,UPI,K. Yadav
ORD-11213,1273,2025-01-28 00:15:31,Customer 474,East,West Bengal,Electronics,Tablet,2,49085.34,5,46631.07,6424.94,Net Banking,P. Sharma
ORD-11509,1173,2025-01-28 09:30:08,Customer 458,South,Tamil Nadu,Electronics,Tablet,5,105592.96,0,105592.96,20867.78,UPI,A. Kumar
ORD-11154,1186,2025-01-28 15:05:17,Customer 54,Central,Madhya Pradesh,Accessories,USB Hub,4,4936.9,15,4196.36,589.15,UPI,P. Sharma
ORD-11370,1007,2025-01-28 18:21:41,Customer 109,North,Delhi,Furniture,Sofa,5,135104.96,5,128349.71,17230.56,Cash,K. Yadav
ORD-10486,1097,2025-01-29 01:02:32,Customer 169,South,Kerala,Office Supplies,File Folder,2,393.12,10,353.81,66.39,Debit Card,P. Sharma
ORD-10081,1399,2025-01-29 02:19:00,Customer 431,Central,Madhya Pradesh,Electronics,Monitor,1,17694.66,5,16809.93,1994.62,UPI,N. Gupta
ORD-11670,1379,2025-01-29 03:12:15,Customer 32,South,Karnataka,Office Supplies,Stapler,3,1173.23,20,938.58,194.57,Credit Card,P. Sharma
ORD-11750,1212,2025-01-29 06:02:34,Customer 168,Central,Chhattisgarh,Furniture,Sofa,3,71812.31,10,64631.08,5911.29,Debit Card,N. Gupta
ORD-10124,1079,2025-01-29 06:24:26,Customer 174,West,Gujarat,Accessories,Webcam,4,13249.34,15,11261.94,2387.77,Credit Card,S. Verma
ORD-10830,1184,2025-01-29 08:59:10,Customer 273,South,Karnataka,Furniture,Table,2,22428.51,10,20185.66,2176.07,UPI,N. Gupta
ORD-11553,1113,2025-01-29 10:08:37,Customer 156,North,Haryana,Furniture,Office Chair,1,8901.84,10,8011.66,688.22,Credit Card,A. Kumar
ORD-10300,1013,2025-01-29 14:59:59,Customer 320,East,Odisha,Furniture,Office Chair,3,27199.77,5,25839.78,4185.66,Debit Card,R. Singh
ORD-11696,1130,2025-01-29 15:37:56,Customer 418,South,Kerala,Electronics,Monitor,2,35775.37,5,33986.6,3842.87,Debit Card,N. Gupta
ORD-11552,1369,2025-01-30 00:12:12,Customer 232,Central,Madhya Pradesh,Accessories,Keyboard,1,1652.88,10,1487.59,343.08,Credit Card,S. Verma
ORD-11560,1010,2025-01-30 09:58:46,Customer 44,North,Delhi,Office Supplies,File Folder,4,738.69,10,664.82,61.75,Debit Card,P. Sharma
ORD-11063,1262,2025-01-30 12:59:47,Customer 179,West,Maharashtra,Furniture,Sofa,1,24506.38,5,23281.06,5336.75,Net Banking,R. Singh
ORD-10539,1433,2025-01-30 17:59:08,Customer 129,West,Goa,Electronics,Tablet,3,65044.15,15,55287.53,6662.66,Credit Card,R. Singh
ORD-10614,1029,2025-01-30 18:58:57,Customer 107,East,Bihar,Accessories,USB Hub,3,3376.14,5,3207.33,461.58,Credit Card,S. Verma
ORD-10554,1079,2025-01-31 00:24:09,Customer 123,South,Kerala,Electronics,Smartphone,5,167481.89,10,150733.7,19657.39,Cash,P. Sharma
ORD-11303,1242,2025-01-31 02:56:02,Customer 116,South,Kerala,Office Supplies,Stapler,4,1586.58,0,1586.58,389.72,Cash,P. Sharma
ORD-10602,1278,2025-01-31 03:35:02,Customer 205,East,West Bengal,Accessories,USB Hub,1,1105.14,10,994.63,208.51,UPI,K. Yadav
ORD-10664,1039,2025-01-31 09:43:34,Customer 139,East,Odisha,Office Supplies,Stapler,2,881.57,10,793.41,138.45,Cash,S. Verma
ORD-10413,1148,2025-01-31 10:18:57,Customer 294,West,Gujarat,Furniture,Table,4,42054.81,5,39952.07,8884.55,Debit Card,N. Gupta
ORD-10395,1099,2025-01-31 18:49:46,Customer 11,South,Karnataka,Electronics,Laptop,1,69252.93,10,62327.64,6713.51,Net Banking,N. Gupta
ORD-10003,1307,2025-01-31 19:44:06,Customer 21,West,Goa,Furniture,Bookshelf,4,28799.64,10,25919.68,2278.25,UPI,P. Sharma
ORD-11730,1367,2025-01-31 20:57:04,Customer 298,East,Bihar,Electronics,Monitor,3,54327.2,10,48894.48,11029.62,Credit Card,K. Yadav
ORD-10027,1321,2025-02-01 05:43:35,Customer 494,South,Kerala,Electronics,Headphones,4,20556.71,10,18501.04,3990.86,Cash,R. Singh
ORD-10006,1338,2025-02-01 07:10:38,Customer 53,West,Gujarat,Furniture,Sofa,4,91130.68,5,86574.15,12646.33,Credit Card,A. Kumar
ORD-11310,1415,2025-02-01 11:29:31,Customer 136,South,Kerala,Electronics,Laptop,2,124575.56,15,105889.23,10048.16,Net Banking,N. Gupta
ORD-10724,1221,2025-02-01 22:47:31,Customer 113,East,Bihar,Accessories,Backpack,3,7763.92,20,6211.14,766.34,Credit Card,R. Singh
ORD-11280,1071,2025-02-02 09:44:48,Customer 187,West,Goa,Furniture,Sofa,4,113381.26,5,107712.2,15193.65,Debit Card,N. Gupta
